PID,Dataset,Forecast Horizon,TS Amount,Windows,Time Limit,Learning Rate,Batch Size,L2-SP Lambda,Weight Decay,Total Time Spent,Initial Validation Loss,Best Validation Loss,Last Validation Loss,Total Steps,Best Step,Early Stopping Reason,Avg Time Per Step,Avg Device Utilization
39495763,hospital,12,767,1,2400,5e-05,16,0.0,0.0,333.85153102874756,26.266104785601296,22.531329600016274,23.545537010828653,400,199,Early stopping due to no improvement (AdaptiveES).,0.8346297752857208,99.7325
39495764,hospital,12,767,1,2400,5e-05,16,0.0001,0.0,319.90890645980835,26.266104785601296,22.520076751708984,23.264286692937215,380,179,Early stopping due to no improvement (AdaptiveES).,0.841866471892909,99.77368421052631
39495765,hospital,12,767,1,2400,5e-05,32,0.0,0.0,1271.099004983902,26.266104785601296,20.67431027094523,20.997634347279867,850,649,Early stopping due to no improvement (AdaptiveES).,1.4954111152536729,99.89058823529412
39495766,hospital,12,767,1,2400,5e-05,32,0.0001,0.0,899.290755033493,26.266104785601296,23.03819541136424,24.063571858406068,540,329,Early stopping due to no improvement (AdaptiveES).,1.665353963110182,99.83333333333333
39495767,hospital,12,767,1,2400,5e-05,64,0.0,0.0,1455.7077701091766,26.266104785601296,21.366128889719644,21.99540122350057,510,309,Early stopping due to no improvement (AdaptiveES).,2.85432957574433,99.83333333333333
39495768,hospital,12,767,1,2400,5e-05,64,0.0001,0.0,1513.0581102371216,26.266104785601296,21.748394544919332,22.280913575490317,530,319,Early stopping due to no improvement (AdaptiveES).,2.854827343292956,99.8
39495769,hospital,12,767,1,2400,5e-06,16,0.0,0.0,262.47482466697693,26.266104785601296,24.212688040733337,24.319518717130027,310,109,Early stopping due to no improvement (AdaptiveES).,0.8466940641403198,99.7
39495770,hospital,12,767,1,2400,5e-06,16,0.0001,0.0,320.6962549686432,26.266104785601296,24.21491137345632,24.24477469921112,370,169,Early stopping due to no improvement (AdaptiveES).,0.8667476486515354,99.75405405405405
39495771,hospital,12,767,1,2400,5e-06,32,0.0,0.0,2402.8529777526855,26.266104785601296,22.680082615216573,22.68442982037862,1589,1549,Early stopping due no time.,1.5121795526460104,99.93077407174323
39495772,hospital,12,767,1,2400,5e-06,32,0.0001,0.0,2405.6920602321625,26.266104785601296,22.763520812988283,22.76457801659902,1594,1579,Early stopping due no time.,1.5092174365200393,99.94667503136763
39495773,hospital,12,767,1,2400,5e-06,64,0.0,0.0,2403.3689818382263,26.266104785601296,22.822145867347718,22.822145867347718,844,839,Early stopping due no time.,2.847594112581551,99.87559241706161
39495774,hospital,12,767,1,2400,5e-06,64,0.0001,0.0,2401.3609433174133,26.266104785601296,22.794665416081745,22.833836706479392,842,809,Early stopping due no time.,2.8519731425899226,99.8895486935867
39495775,hospital,12,767,1,2400,5e-07,16,0.0,0.0,1735.3342609405518,26.266104785601296,24.132988826433817,24.188212037086487,1990,1649,Early stopping due to no improvement (AdaptiveES).,0.872027549192534,99.9532663316583
39495776,hospital,12,767,1,2400,5e-07,16,0.0001,0.0,1881.0220758914948,26.266104785601296,24.12699203491211,24.162732235590617,1920,1589,Early stopping due to no improvement (AdaptiveES).,0.9796992976218462,99.94583333333334
39495777,hospital,12,767,1,2400,5e-07,32,0.0,0.0,1973.071558713913,26.266104785601296,24.160592516263325,24.175937326749168,1300,1069,Early stopping due to no improvement (AdaptiveES).,1.5177477191044735,99.92769230769231
39495778,hospital,12,767,1,2400,5e-07,32,0.0001,0.0,2372.6405375003815,26.266104785601296,24.147674441337585,24.193040402730308,1590,1309,Early stopping due to no improvement (AdaptiveES).,1.4922270933787027,99.94654088050315
39495779,hospital,12,767,1,2400,5e-07,64,0.0,0.0,2401.146306037903,26.266104785601296,24.209543299674987,24.219276785850525,842,819,Early stopping due no time.,2.8517182227268356,99.8895486935867
39495780,hospital,12,767,1,2400,5e-07,64,0.0001,0.0,2401.2549889087677,26.266104785601296,24.19858798185984,24.198956123987834,843,809,Early stopping due no time.,2.8484643153307134,99.8944246737841
