dataset,context_length,num_series,ckpt_1_delta_pct,ckpt_2_delta_pct,ckpt_3_delta_pct,ckpt_4_delta_pct,ckpt_5_delta_pct,mean_delta_pct,min_delta_pct,max_delta_pct,improved
ett2/D/short,short,7,-34.851656252662536,-35.17425551104449,-34.09719854879381,-22.959665287502474,-29.19353519056852,-31.25526215811437,-35.17425551104449,-22.959665287502474,True
bitbrains_rnd/H/short,short,2,-0.9301219961305636,-0.9174114282566993,-1.729310982136451,-3.0023592510485146,-1.9074493741610312,-1.697330606346652,-3.0023592510485146,-0.9174114282566993,True
loop_seattle/D/short,short,1,-2.8314106501414664,-2.51851147796222,-1.91006556716595,-0.3794569043503997,-0.08435389196201713,-1.5447596983164107,-2.8314106501414664,-0.08435389196201713,True
sz_taxi/H/short,short,1,-1.8944150937616853,-1.8961954721371652,-1.5691704423773136,-0.17742393041611668,0.35826687857916883,-1.0357876120226224,-1.8961954721371652,0.35826687857916883,True
saugeen/M/short,short,1,0.598985476221322,-0.5048095712647122,1.5797038847192573,-0.43378818657467966,-3.485528998844193,-0.4490874791486011,-3.485528998844193,1.5797038847192573,True
us_births/M/short,short,1,-5.319829973759414,-14.798268033095718,-7.635822814739833,0.9369089894129101,24.622706788762823,-0.43886100868384614,-14.798268033095718,24.622706788762823,True
hierarchical_sales/W/short,short,1,-1.1596251833076765,-0.9238400962603471,-0.5513504961338669,1.0164335712105848,0.1298668470529975,-0.29770307148766173,-1.1596251833076765,1.0164335712105848,True
sz_taxi/15T/short,short,1,-0.8344386334040282,-0.7136088239333924,-0.53220929935544,0.6895100695932903,0.3141460577413127,-0.21532012587165156,-0.8344386334040282,0.6895100695932903,True
solar/D/short,short,1,1.014537058022852,1.0157887755066264,-2.7154655278157804,0.5692565436803495,0.45825952249180346,0.06847527437717024,-2.7154655278157804,1.0157887755066264,False
jena_weather/D/short,short,21,-2.4010706027163815,-3.4186625586671444,-5.944457433252745,8.3721473699222,6.94211244506958,0.7100138440711016,-5.944457433252745,8.3721473699222,False
us_births/W/short,short,1,-3.792662083072188,-2.6083134710307996,-6.263942459778321,7.717211924626834,12.390262256612228,1.4885112334715507,-6.263942459778321,12.390262256612228,False
ett1/D/short,short,7,1.2720613501263764,0.17036934706548026,6.211422932464779,1.1847057918112196,2.2257649216995112,2.2128648686334733,0.17036934706548026,6.211422932464779,False
m_dense/D/short,short,1,-0.5244230633308833,0.00018770446363574605,1.651755367416777,4.040511737680094,5.939148328737887,2.221436014993502,-0.5244230633308833,5.939148328737887,False
covid_deaths/D/short,short,1,7.9107264673212825,9.153047744119073,14.736548087560228,18.528572394942046,27.551288384239225,15.576036615636372,7.9107264673212825,27.551288384239225,False
